"back_hospital.yyyymmdd","back_hospital.area","back_hospital.sex","back_hospital.frequency"
20120101,"강원",1,3
20120101,"강원",2,3
20120101,"경기",1,4
20120101,"경기",2,5
20120101,"경남",1,2
20120101,"경남",2,1
20120101,"경북",1,6
20120101,"경북",2,1
20120101,"광주",1,0
20120101,"광주",2,2
20120101,"대구",1,1
20120101,"대구",2,0
20120101,"대전",1,4
20120101,"대전",2,1
20120101,"부산",1,3
20120101,"부산",2,6
20120101,"서울",1,2
20120101,"서울",2,6
20120101,"세종",1,0
20120101,"세종",2,0
20120101,"울산",1,0
20120101,"울산",2,0
20120101,"인천",1,1
20120101,"인천",2,1
20120101,"전남",1,3
20120101,"전남",2,6
20120101,"전북",1,2
20120101,"전북",2,2
20120101,"제주",1,0
20120101,"제주",2,0
20120101,"충남",1,0
20120101,"충남",2,1
20120101,"충북",1,4
20120101,"충북",2,3
20120102,"강원",1,2
20120102,"강원",2,0
20120102,"경기",1,2
20120102,"경기",2,6
20120102,"경남",1,3
20120102,"경남",2,1
20120102,"경북",1,4
20120102,"경북",2,4
20120102,"광주",1,0
20120102,"광주",2,1
20120102,"대구",1,3
20120102,"대구",2,1
20120102,"대전",1,1
20120102,"대전",2,2
20120102,"부산",1,4
20120102,"부산",2,3
20120102,"서울",1,3
20120102,"서울",2,7
20120102,"세종",1,0
20120102,"세종",2,0
20120102,"울산",1,1
20120102,"울산",2,0
20120102,"인천",1,0
20120102,"인천",2,4
20120102,"전남",1,2
20120102,"전남",2,3
20120102,"전북",1,2
20120102,"전북",2,4
20120102,"제주",1,0
20120102,"제주",2,0
20120102,"충남",1,1
20120102,"충남",2,0
20120102,"충북",1,1
20120102,"충북",2,0
20120103,"강원",1,0
20120103,"강원",2,0
20120103,"경기",1,7
20120103,"경기",2,4
20120103,"경남",1,4
20120103,"경남",2,3
20120103,"경북",1,2
20120103,"경북",2,1
20120103,"광주",1,1
20120103,"광주",2,2
20120103,"대구",1,1
20120103,"대구",2,1
20120103,"대전",1,1
20120103,"대전",2,1
20120103,"부산",1,1
20120103,"부산",2,3
20120103,"서울",1,2
20120103,"서울",2,4
20120103,"세종",1,2
20120103,"세종",2,0
20120103,"울산",1,0
20120103,"울산",2,1
20120103,"인천",1,1
20120103,"인천",2,0
20120103,"전남",1,2
20120103,"전남",2,0
20120103,"전북",1,0
20120103,"전북",2,1
20120103,"제주",1,0
20120103,"제주",2,0
20120103,"충남",1,1
20120103,"충남",2,2
20120103,"충북",1,1
20120103,"충북",2,1
20120104,"강원",1,1
20120104,"강원",2,2
20120104,"경기",1,4
20120104,"경기",2,5
20120104,"경남",1,2
20120104,"경남",2,1
20120104,"경북",1,3
20120104,"경북",2,3
20120104,"광주",1,1
20120104,"광주",2,1
20120104,"대구",1,3
20120104,"대구",2,0
20120104,"대전",1,1
20120104,"대전",2,0
20120104,"부산",1,3
20120104,"부산",2,1
20120104,"서울",1,3
20120104,"서울",2,8
20120104,"세종",1,0
20120104,"세종",2,0
20120104,"울산",1,0
20120104,"울산",2,0
20120104,"인천",1,1
20120104,"인천",2,1
20120104,"전남",1,1
20120104,"전남",2,3
20120104,"전북",1,0
20120104,"전북",2,3
20120104,"제주",1,0
20120104,"제주",2,0
20120104,"충남",1,0
20120104,"충남",2,0
20120104,"충북",1,0
20120104,"충북",2,1
20120105,"강원",1,2
20120105,"강원",2,1
20120105,"경기",1,12
20120105,"경기",2,2
20120105,"경남",1,3
20120105,"경남",2,0
20120105,"경북",1,1
20120105,"경북",2,2
20120105,"광주",1,0
20120105,"광주",2,1
20120105,"대구",1,2
20120105,"대구",2,1
20120105,"대전",1,0
20120105,"대전",2,0
20120105,"부산",1,5
20120105,"부산",2,2
20120105,"서울",1,9
20120105,"서울",2,4
20120105,"세종",1,0
